# Total Phase Data Center(tm) v5.00
# (c) 2005-2010 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,Record,Data
1,131,0:02.125.940,454.500 us,9 B,,   MOSI,01 40 00 01 02 00 00 00 00
1,132,0:02.125.940,454.500 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,133,0:02.142.671,454.900 us,9 B,,Transaction,01FF 40F3 005A 0200 0200 0002 0000 0000 005A
1,134,0:02.142.671,454.900 us,9 B,,   MOSI,01 40 00 02 02 00 00 00 00
1,135,0:02.142.671,454.900 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,136,0:02.159.352,454.500 us,9 B,,Transaction,01FF 40F3 005A 0300 0200 0002 0000 0000 005A
1,137,0:02.159.352,454.500 us,9 B,,   MOSI,01 40 00 03 02 00 00 00 00
1,138,0:02.159.352,454.500 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,139,0:02.175.998,454.000 us,9 B,,Transaction,01FF 40F3 005A 0400 0200 0002 0000 0000 005A
1,140,0:02.175.998,454.000 us,9 B,,   MOSI,01 40 00 04 02 00 00 00 00
1,141,0:02.175.998,454.000 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,142,0:02.192.735,454.500 us,9 B,,Transaction,01FF 40F3 005A 0500 0200 0002 0000 0000 005A
1,143,0:02.192.735,454.500 us,9 B,,   MOSI,01 40 00 05 02 00 00 00 00
1,144,0:02.192.735,454.500 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,145,0:02.209.405,453.600 us,9 B,,Transaction,01FF 40F3 005A 0600 0200 0002 0000 0000 005A
1,146,0:02.209.405,453.600 us,9 B,,   MOSI,01 40 00 06 02 00 00 00 00
1,147,0:02.209.405,453.600 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,148,0:02.226.106,455.000 us,9 B,,Transaction,01FF 40F3 005A 0700 0200 0002 0000 0000 005A
1,149,0:02.226.106,455.000 us,9 B,,   MOSI,01 40 00 07 02 00 00 00 00
1,150,0:02.226.106,455.000 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,151,0:02.242.858,454.000 us,9 B,,Transaction,01FF 40F3 005A 0800 0200 0002 0000 0000 005A
1,152,0:02.242.858,454.000 us,9 B,,   MOSI,01 40 00 08 02 00 00 00 00
1,153,0:02.242.858,454.000 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,154,0:02.259.424,453.900 us,9 B,,Transaction,01FF 40F3 005A 0900 0200 0002 0000 0000 005A
1,155,0:02.259.424,453.900 us,9 B,,   MOSI,01 40 00 09 02 00 00 00 00
1,156,0:02.259.424,453.900 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,157,0:02.276.117,453.400 us,9 B,,Transaction,01FF 40F3 005A 0A00 0200 0002 0000 0000 005A
1,158,0:02.276.117,453.400 us,9 B,,   MOSI,01 40 00 0A 02 00 00 00 00
1,159,0:02.276.117,453.400 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,160,0:02.292.793,454.800 us,9 B,,Transaction,01FF 40F3 005A 0B00 0200 0002 0000 0000 005A
1,161,0:02.292.793,454.800 us,9 B,,   MOSI,01 40 00 0B 02 00 00 00 00
1,162,0:02.292.793,454.800 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,163,0:02.309.521,453.300 us,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,164,0:02.309.521,453.300 us,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,165,0:02.309.521,453.300 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,166,0:02.326.209,291.600 us,9 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080
1,167,0:02.326.209,291.600 us,9 B,,   MOSI,01 42 00 00 00 00 00 00 00
1,168,0:02.326.209,291.600 us,9 B,,   MISO,FF 79 5A FF FF 80 80 80 80
0,169,0:02.342.886,257.100 us,5 B,,Transaction,01FF 4279 005A 00FF 00FF
1,170,0:02.342.886,257.100 us,5 B,,   MOSI,01 42 00 00 00
1,171,0:02.342.886,257.100 us,5 B,,   MISO,FF 79 5A FF FF
0,172,0:02.359.564,1.047.000 ms,21 B,,Transaction,01FF 4379 005A 01FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,173,0:02.359.564,1.047.000 ms,21 B,,   MOSI,01 43 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,174,0:02.359.564,1.047.000 ms,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,175,0:02.376.324,454.900 us,9 B,,Transaction,01FF 45F3 005A 5A03 5A02 5A01 5A02 5A01 5A00
1,176,0:02.376.324,454.900 us,9 B,,   MOSI,01 45 00 5A 5A 5A 5A 5A 5A
1,177,0:02.376.324,454.900 us,9 B,,   MISO,FF F3 5A 03 02 01 02 01 00
0,178,0:02.392.908,453.900 us,9 B,,Transaction,01FF 46F3 005A 0000 5A00 5A01 5A02 5A00 5A0F
1,179,0:02.392.908,453.900 us,9 B,,   MOSI,01 46 00 00 5A 5A 5A 5A 5A
1,180,0:02.392.908,453.900 us,9 B,,   MISO,FF F3 5A 00 00 01 02 00 0F
0,181,0:02.409.637,453.500 us,9 B,,Transaction,01FF 46F3 005A 0100 5A00 5A01 5A01 5A01 5A0F
1,182,0:02.409.637,453.500 us,9 B,,   MOSI,01 46 00 01 5A 5A 5A 5A 5A
1,183,0:02.409.637,453.500 us,9 B,,   MISO,FF F3 5A 00 00 01 01 01 0F
0,184,0:02.426.315,453.900 us,9 B,,Transaction,01FF 47F3 005A 0000 5A00 5A02 5A00 5A01 5A00
1,185,0:02.426.315,453.900 us,9 B,,   MOSI,01 47 00 00 5A 5A 5A 5A 5A
1,186,0:02.426.315,453.900 us,9 B,,   MISO,FF F3 5A 00 00 02 00 01 00
0,187,0:02.442.990,454.000 us,9 B,,Transaction,01FF 4CF3 005A 0000 5A00 5A00 5A04 5A00 5A00
1,188,0:02.442.990,454.000 us,9 B,,   MOSI,01 4C 00 00 5A 5A 5A 5A 5A
1,189,0:02.442.990,454.000 us,9 B,,   MISO,FF F3 5A 00 00 00 04 00 00
0,190,0:02.459.703,455.000 us,9 B,,Transaction,01FF 4CF3 005A 0100 5A00 5A00 5A07 5A00 5A00
1,191,0:02.459.703,455.000 us,9 B,,   MOSI,01 4C 00 01 5A 5A 5A 5A 5A
1,192,0:02.459.703,455.000 us,9 B,,   MISO,FF F3 5A 00 00 00 07 00 00
0,193,0:02.476.374,454.800 us,9 B,,Transaction,01FF 4DF3 005A 0000 0101 FFFF FFFF FFFF FFFF
1,194,0:02.476.374,454.800 us,9 B,,   MOSI,01 4D 00 00 01 FF FF FF FF
1,195,0:02.476.374,454.800 us,9 B,,   MISO,FF F3 5A 00 01 FF FF FF FF
0,196,0:02.493.072,454.700 us,9 B,,Transaction,01FF 41F3 005A 5AFF 5AFF 5A03 5A00 5A00 5A5A
1,197,0:02.493.072,454.700 us,9 B,,   MOSI,01 41 00 5A 5A 5A 5A 5A 5A
1,198,0:02.493.072,454.700 us,9 B,,   MISO,FF F3 5A FF FF 03 00 00 5A
0,199,0:02.509.746,453.500 us,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,200,0:02.509.746,453.500 us,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,201,0:02.509.746,453.500 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,202,0:02.526.380,257.000 us,5 B,,Transaction,01FF 4279 005A 00FF 00FF
