# Total Phase Data Center(tm) v5.00
# (c) 2005-2010 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,Record,Data
0,130,0:04.357.404,453.800 us,9 B,,Transaction,01FF 40F3 005A 0000 0200 0002 0000 0000 005A
1,131,0:04.357.404,453.800 us,9 B,,   MOSI,01 40 00 00 02 00 00 00 00
1,132,0:04.357.404,453.800 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,133,0:04.374.090,453.400 us,9 B,,Transaction,01FF 40F3 005A 0100 0200 0002 0000 0000 005A
1,134,0:04.374.090,453.400 us,9 B,,   MOSI,01 40 00 01 02 00 00 00 00
1,135,0:04.374.090,453.400 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,136,0:04.390.777,454.900 us,9 B,,Transaction,01FF 40F3 005A 0200 0200 0002 0000 0000 005A
1,137,0:04.390.777,454.900 us,9 B,,   MOSI,01 40 00 02 02 00 00 00 00
1,138,0:04.390.777,454.900 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,139,0:04.407.642,453.300 us,9 B,,Transaction,01FF 40F3 005A 0300 0200 0002 0000 0000 005A
1,140,0:04.407.642,453.300 us,9 B,,   MOSI,01 40 00 03 02 00 00 00 00
1,141,0:04.407.642,453.300 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,142,0:04.424.148,454.700 us,9 B,,Transaction,01FF 40F3 005A 0400 0200 0002 0000 0000 005A
1,143,0:04.424.148,454.700 us,9 B,,   MOSI,01 40 00 04 02 00 00 00 00
1,144,0:04.424.148,454.700 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,145,0:04.440.832,454.800 us,9 B,,Transaction,01FF 40F3 005A 0500 0200 0002 0000 0000 005A
1,146,0:04.440.832,454.800 us,9 B,,   MOSI,01 40 00 05 02 00 00 00 00
1,147,0:04.440.832,454.800 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,148,0:04.457.518,454.300 us,9 B,,Transaction,01FF 40F3 005A 0600 0200 0002 0000 0000 005A
1,149,0:04.457.518,454.300 us,9 B,,   MOSI,01 40 00 06 02 00 00 00 00
1,150,0:04.457.518,454.300 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,151,0:04.474.204,454.400 us,9 B,,Transaction,01FF 40F3 005A 0700 0200 0002 0000 0000 005A
1,152,0:04.474.204,454.400 us,9 B,,   MOSI,01 40 00 07 02 00 00 00 00
1,153,0:04.474.204,454.400 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,154,0:04.490.886,454.100 us,9 B,,Transaction,01FF 40F3 005A 0800 0200 0002 0000 0000 005A
1,155,0:04.490.886,454.100 us,9 B,,   MOSI,01 40 00 08 02 00 00 00 00
1,156,0:04.490.886,454.100 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,157,0:04.507.571,454.100 us,9 B,,Transaction,01FF 40F3 005A 0900 0200 0002 0000 0000 005A
1,158,0:04.507.571,454.100 us,9 B,,   MOSI,01 40 00 09 02 00 00 00 00
1,159,0:04.507.571,454.100 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,160,0:04.524.255,454.600 us,9 B,,Transaction,01FF 40F3 005A 0A00 0200 0002 0000 0000 005A
1,161,0:04.524.255,454.600 us,9 B,,   MOSI,01 40 00 0A 02 00 00 00 00
1,162,0:04.524.255,454.600 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,163,0:04.540.943,454.800 us,9 B,,Transaction,01FF 40F3 005A 0B00 0200 0002 0000 0000 005A
1,164,0:04.540.943,454.800 us,9 B,,   MOSI,01 40 00 0B 02 00 00 00 00
1,165,0:04.540.943,454.800 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,166,0:04.557.628,453.800 us,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,167,0:04.557.628,453.800 us,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,168,0:04.557.628,453.800 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,169,0:04.574.314,292.000 us,9 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080
1,170,0:04.574.314,292.000 us,9 B,,   MOSI,01 42 00 00 00 00 00 00 00
1,171,0:04.574.314,292.000 us,9 B,,   MISO,FF 79 5A FF FF 80 80 80 80
0,172,0:04.590.993,257.100 us,5 B,,Transaction,01FF 4279 005A 00FF 00FF
1,173,0:04.590.993,257.100 us,5 B,,   MOSI,01 42 00 00 00
1,174,0:04.590.993,257.100 us,5 B,,   MISO,FF 79 5A FF FF
