# Total Phase Data Center(tm) v5.00
# (c) 2005-2010 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,Record,Data
0,148,0:04.812.161,256.400 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,149,0:04.812.161,256.400 us,5 B,,   MOSI,01 42 00 00 00
1,150,0:04.812.161,256.400 us,5 B,,   MISO,FF 41 5A FF FF
0,151,0:04.828.843,256.300 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,152,0:04.828.843,256.300 us,5 B,,   MOSI,01 42 00 00 00
1,153,0:04.828.843,256.300 us,5 B,,   MISO,FF 41 5A FF FF
0,154,0:04.845.532,255.700 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,155,0:04.845.532,255.700 us,5 B,,   MOSI,01 42 00 00 00
1,156,0:04.845.532,255.700 us,5 B,,   MISO,FF 41 5A FF FF
0,157,0:04.862.216,255.300 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,158,0:04.862.216,255.300 us,5 B,,   MOSI,01 42 00 00 00
1,159,0:04.862.216,255.300 us,5 B,,   MISO,FF 41 5A FF FF
0,160,0:04.878.901,256.200 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,161,0:04.878.901,256.200 us,5 B,,   MOSI,01 42 00 00 00
1,162,0:04.878.901,256.200 us,5 B,,   MISO,FF 41 5A FF FF
0,163,0:04.895.588,257.200 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,164,0:04.895.588,257.200 us,5 B,,   MOSI,01 42 00 00 00
1,165,0:04.895.588,257.200 us,5 B,,   MISO,FF 41 5A FF FF
0,166,0:04.912.274,256.600 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,167,0:04.912.274,256.600 us,5 B,,   MOSI,01 42 00 00 00
1,168,0:04.912.274,256.600 us,5 B,,   MISO,FF 41 5A FF FF
0,169,0:04.928.953,257.100 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,170,0:04.928.953,257.100 us,5 B,,   MOSI,01 42 00 00 00
1,171,0:04.928.953,257.100 us,5 B,,   MISO,FF 41 5A FF FF
0,172,0:04.945.640,255.500 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,173,0:04.945.640,255.500 us,5 B,,   MOSI,01 42 00 00 00
1,174,0:04.945.640,255.500 us,5 B,,   MISO,FF 41 5A FF FF
0,175,0:04.962.354,256.500 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,176,0:04.962.354,256.500 us,5 B,,   MOSI,01 42 00 00 00
1,177,0:04.962.354,256.500 us,5 B,,   MISO,FF 41 5A FF FF
0,178,0:04.979.018,256.800 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,179,0:04.979.018,256.800 us,5 B,,   MOSI,01 42 00 00 00
1,180,0:04.979.018,256.800 us,5 B,,   MISO,FF 41 5A FF FF
0,181,0:04.995.699,255.500 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,182,0:04.995.699,255.500 us,5 B,,   MOSI,01 42 00 00 00
1,183,0:04.995.699,255.500 us,5 B,,   MISO,FF 41 5A FF FF
0,184,0:05.012.383,256.900 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,185,0:05.012.383,256.900 us,5 B,,   MOSI,01 42 00 00 00
1,186,0:05.012.383,256.900 us,5 B,,   MISO,FF 41 5A FF FF
0,187,0:05.029.071,257.100 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,188,0:05.029.071,257.100 us,5 B,,   MOSI,01 42 00 00 00
1,189,0:05.029.071,257.100 us,5 B,,   MISO,FF 41 5A FF FF
0,190,0:05.045.755,256.500 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,191,0:05.045.755,256.500 us,5 B,,   MOSI,01 42 00 00 00
1,192,0:05.045.755,256.500 us,5 B,,   MISO,FF 41 5A FF FF
0,193,0:05.062.441,255.800 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,194,0:05.062.441,255.800 us,5 B,,   MOSI,01 42 00 00 00
1,195,0:05.062.441,255.800 us,5 B,,   MISO,FF 41 5A FF FF
0,196,0:05.079.147,257.300 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,197,0:05.079.147,257.300 us,5 B,,   MOSI,01 42 00 00 00
1,198,0:05.079.147,257.300 us,5 B,,   MISO,FF 41 5A FF FF
0,199,0:05.095.812,256.600 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,200,0:05.095.812,256.600 us,5 B,,   MOSI,01 42 00 00 00
1,201,0:05.095.812,256.600 us,5 B,,   MISO,FF 41 5A FF FF
0,202,0:05.112.494,256.400 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,203,0:05.112.494,256.400 us,5 B,,   MOSI,01 42 00 00 00
1,204,0:05.112.494,256.400 us,5 B,,   MISO,FF 41 5A FF FF
0,205,0:05.129.180,256.800 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,206,0:05.129.180,256.800 us,5 B,,   MOSI,01 42 00 00 00
1,207,0:05.129.180,256.800 us,5 B,,   MISO,FF 41 5A FF FF
0,208,0:05.145.872,256.700 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,209,0:05.145.872,256.700 us,5 B,,   MOSI,01 42 00 00 00
1,210,0:05.145.872,256.700 us,5 B,,   MISO,FF 41 5A FF FF
0,211,0:05.162.551,257.200 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
