# Total Phase Data Center(tm) v5.00
# (c) 2005-2010 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,Record,Data
0,0,0:00.000.000,,,,Capture started,[12/13/10 23:16:20]
0,1,0:00.000.102,314.470.400 ms,0 B,TM,Transaction,
1,2,0:00.000.102,314.470.400 ms,0 B,TM,   MOSI,
1,3,0:00.000.102,314.470.400 ms,0 B,TM,   MISO,
0,4,0:02.933.074,147.500 us,1 B,P1,Transaction,0000
1,5,0:02.933.074,147.500 us,1 B,P1,   MOSI,00
1,6,0:02.933.074,147.500 us,1 B,P1,   MISO,00
0,7,0:02.933.221,8.000 us,0 B,,Transaction,
1,8,0:02.933.221,8.000 us,0 B,,   MOSI,
1,9,0:02.933.221,8.000 us,0 B,,   MISO,
0,10,0:02.933.230,400 ns,0 B,,Transaction,
1,11,0:02.933.230,400 ns,0 B,,   MOSI,
1,12,0:02.933.230,400 ns,0 B,,   MISO,
0,13,0:02.933.230,200 ns,0 B,,Transaction,
1,14,0:02.933.230,200 ns,0 B,,   MOSI,
1,15,0:02.933.230,200 ns,0 B,,   MISO,
0,16,0:02.933.231,200 ns,0 B,,Transaction,
1,17,0:02.933.231,200 ns,0 B,,   MOSI,
1,18,0:02.933.231,200 ns,0 B,,   MISO,
0,19,0:02.933.231,300 ns,0 B,,Transaction,
1,20,0:02.933.231,300 ns,0 B,,   MOSI,
1,21,0:02.933.231,300 ns,0 B,,   MISO,
0,22,0:02.933.232,200 ns,0 B,,Transaction,
1,23,0:02.933.232,200 ns,0 B,,   MOSI,
1,24,0:02.933.232,200 ns,0 B,,   MISO,
0,25,0:02.933.232,200 ns,0 B,,Transaction,
1,26,0:02.933.232,200 ns,0 B,,   MOSI,
1,27,0:02.933.232,200 ns,0 B,,   MISO,
0,28,0:02.933.233,400 ns,0 B,,Transaction,
1,29,0:02.933.233,400 ns,0 B,,   MOSI,
1,30,0:02.933.233,400 ns,0 B,,   MISO,
0,31,0:02.933.233,100 ns,0 B,,Transaction,
1,32,0:02.933.233,100 ns,0 B,,   MOSI,
1,33,0:02.933.233,100 ns,0 B,,   MISO,
0,34,0:02.933.234,100 ns,0 B,,Transaction,
1,35,0:02.933.234,100 ns,0 B,,   MOSI,
1,36,0:02.933.234,100 ns,0 B,,   MISO,
0,37,0:02.933.235,100 ns,0 B,,Transaction,
1,38,0:02.933.235,100 ns,0 B,,   MOSI,
1,39,0:02.933.235,100 ns,0 B,,   MISO,
0,40,0:02.933.235,200 ns,0 B,,Transaction,
1,41,0:02.933.235,200 ns,0 B,,   MOSI,
1,42,0:02.933.235,200 ns,0 B,,   MISO,
0,43,0:02.933.238,100 ns,0 B,,Transaction,
1,44,0:02.933.238,100 ns,0 B,,   MOSI,
1,45,0:02.933.238,100 ns,0 B,,   MISO,
0,46,0:02.933.243,200 ns,0 B,,Transaction,
1,47,0:02.933.243,200 ns,0 B,,   MOSI,
1,48,0:02.933.243,200 ns,0 B,,   MISO,
0,49,0:02.933.271,2.700 us,0 B,,Transaction,
1,50,0:02.933.271,2.700 us,0 B,,   MOSI,
1,51,0:02.933.271,2.700 us,0 B,,   MISO,
0,52,0:02.933.337,200 ns,0 B,,Transaction,
1,53,0:02.933.337,200 ns,0 B,,   MOSI,
1,54,0:02.933.337,200 ns,0 B,,   MISO,
0,55,0:02.933.348,100 ns,0 B,,Transaction,
1,56,0:02.933.348,100 ns,0 B,,   MOSI,
1,57,0:02.933.348,100 ns,0 B,,   MISO,
0,58,0:02.933.348,200 ns,0 B,,Transaction,
1,59,0:02.933.348,200 ns,0 B,,   MOSI,
1,60,0:02.933.348,200 ns,0 B,,   MISO,
0,61,0:02.933.389,100 ns,0 B,,Transaction,
1,62,0:02.933.389,100 ns,0 B,,   MOSI,
1,63,0:02.933.389,100 ns,0 B,,   MISO,
0,64,0:02.944.378,1.449.500 ms,7 B,P1,Transaction,0000 0000 0000 0000 0000 0000 0000
1,65,0:02.944.378,1.449.500 ms,7 B,P1,   MOSI,00 00 00 00 00 00 00
1,66,0:02.944.378,1.449.500 ms,7 B,P1,   MISO,00 00 00 00 00 00 00
0,67,0:02.960.382,1.448.300 ms,9 B,,Transaction,0000 0000 0000 0000 0000 0000 0000 0000 0000
1,68,0:02.960.382,1.448.300 ms,9 B,,   MOSI,00 00 00 00 00 00 00 00 00
1,69,0:02.960.382,1.448.300 ms,9 B,,   MISO,00 00 00 00 00 00 00 00 00
0,70,0:02.976.392,71.200 us,0 B,,Transaction,
1,71,0:02.976.392,71.200 us,0 B,,   MOSI,
1,72,0:02.976.392,71.200 us,0 B,,   MISO,
0,73,0:02.992.396,831.500 us,5 B,,Transaction,0000 0000 0000 0000 0000
1,74,0:02.992.396,831.500 us,5 B,,   MOSI,00 00 00 00 00
1,75,0:02.992.396,831.500 us,5 B,,   MISO,00 00 00 00 00
0,76,0:03.008.405,1.449.500 ms,9 B,,Transaction,0000 0000 0000 0000 0000 0000 0000 0000 0000
1,77,0:03.008.405,1.449.500 ms,9 B,,   MOSI,00 00 00 00 00 00 00 00 00
1,78,0:03.008.405,1.449.500 ms,9 B,,   MISO,00 00 00 00 00 00 00 00 00
0,79,0:03.024.409,1.448.300 ms,9 B,,Transaction,0000 0000 0000 0000 0000 0000 0000 0000 0000
1,80,0:03.024.409,1.448.300 ms,9 B,,   MOSI,00 00 00 00 00 00 00 00 00
1,81,0:03.024.409,1.448.300 ms,9 B,,   MISO,00 00 00 00 00 00 00 00 00
0,82,0:03.040.412,71.100 us,0 B,,Transaction,
1,83,0:03.040.412,71.100 us,0 B,,   MOSI,
1,84,0:03.040.412,71.100 us,0 B,,   MISO,
0,85,0:03.056.423,831.600 us,5 B,,Transaction,0000 0000 0000 0000 0000
1,86,0:03.056.423,831.600 us,5 B,,   MOSI,00 00 00 00 00
1,87,0:03.056.423,831.600 us,5 B,,   MISO,00 00 00 00 00
0,88,0:03.072.424,1.449.500 ms,9 B,,Transaction,0000 0000 0000 0000 0000 0000 0000 0000 0000
1,89,0:03.072.424,1.449.500 ms,9 B,,   MOSI,00 00 00 00 00 00 00 00 00
1,90,0:03.072.424,1.449.500 ms,9 B,,   MISO,00 00 00 00 00 00 00 00 00
0,91,0:03.088.436,1.448.200 ms,9 B,,Transaction,0000 0000 0000 0000 0000 0000 0000 0000 0000
1,92,0:03.088.436,1.448.200 ms,9 B,,   MOSI,00 00 00 00 00 00 00 00 00
1,93,0:03.088.436,1.448.200 ms,9 B,,   MISO,00 00 00 00 00 00 00 00 00
0,94,0:03.104.439,71.100 us,0 B,,Transaction,
1,95,0:03.104.439,71.100 us,0 B,,   MOSI,
1,96,0:03.104.439,71.100 us,0 B,,   MISO,
0,97,0:03.120.443,831.600 us,5 B,,Transaction,0000 0000 0000 0000 0000
1,98,0:03.120.443,831.600 us,5 B,,   MOSI,00 00 00 00 00
1,99,0:03.120.443,831.600 us,5 B,,   MISO,00 00 00 00 00
0,100,0:03.136.451,1.449.500 ms,9 B,,Transaction,0000 0000 0000 0000 0000 0000 0000 0000 0000
1,101,0:03.136.451,1.449.500 ms,9 B,,   MOSI,00 00 00 00 00 00 00 00 00
1,102,0:03.136.451,1.449.500 ms,9 B,,   MISO,00 00 00 00 00 00 00 00 00
0,103,0:03.152.455,1.448.300 ms,9 B,,Transaction,00FF 4DFF 00FF 00FF 01FF FFFF FFFF FFFF FFFF
1,104,0:03.152.455,1.448.300 ms,9 B,,   MOSI,00 4D 00 00 01 FF FF FF FF
1,105,0:03.152.455,1.448.300 ms,9 B,,   MISO,FF FF FF FF FF FF FF FF FF
0,106,0:03.168.458,71.200 us,0 B,,Transaction,
1,107,0:03.168.458,71.200 us,0 B,,   MOSI,
1,108,0:03.168.458,71.200 us,0 B,,   MISO,
0,109,0:03.184.470,564.300 us,5 B,,Transaction,01FF 4341 005A 01FF 00FF
1,110,0:03.184.470,564.300 us,5 B,,   MOSI,01 43 00 01 00
1,111,0:03.184.470,564.300 us,5 B,,   MISO,FF 41 5A FF FF
0,112,0:03.200.471,1.449.500 ms,9 B,,Transaction,01FF 45F3 005A 5A03 5A02 5A00 5A02 5A01 5A00
1,113,0:03.200.471,1.449.500 ms,9 B,,   MOSI,01 45 00 5A 5A 5A 5A 5A 5A
1,114,0:03.200.471,1.449.500 ms,9 B,,   MISO,FF F3 5A 03 02 00 02 01 00
0,115,0:03.216.483,1.448.200 ms,9 B,,Transaction,01FF 4DF3 005A 0000 0101 FFFF FFFF FFFF FFFF
1,116,0:03.216.483,1.448.200 ms,9 B,,   MOSI,01 4D 00 00 01 FF FF FF FF
1,117,0:03.216.483,1.448.200 ms,9 B,,   MISO,FF F3 5A 00 01 FF FF FF FF
0,118,0:03.232.485,1.450.000 ms,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,119,0:03.232.485,1.450.000 ms,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,120,0:03.232.485,1.450.000 ms,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,121,0:03.248.490,564.700 us,5 B,,Transaction,01FF 4341 005A 01FF 00FF
1,122,0:03.248.490,564.700 us,5 B,,   MOSI,01 43 00 01 00
1,123,0:03.248.490,564.700 us,5 B,,   MISO,FF 41 5A FF FF
0,124,0:03.264.499,1.452.400 ms,9 B,,Transaction,01FF 44F3 005A 0100 0200 0000 0000 0000 0000
1,125,0:03.264.499,1.452.400 ms,9 B,,   MOSI,01 44 00 01 02 00 00 00 00
1,126,0:03.264.499,1.452.400 ms,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,127,0:03.280.506,1.450.000 ms,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,128,0:03.280.506,1.450.000 ms,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,129,0:03.280.506,1.450.000 ms,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,130,0:03.296.511,907.700 us,9 B,,Transaction,01FF 4373 005A 01FF 00FF 0080 0080 0080 0080
1,131,0:03.296.511,907.700 us,9 B,,   MOSI,01 43 00 01 00 00 00 00 00
1,132,0:03.296.511,907.700 us,9 B,,   MISO,FF 73 5A FF FF 80 80 80 80
0,133,0:03.312.516,1.448.300 ms,9 B,,Transaction,01FF 4DF3 005A 00FF 01FF FFFF FFFF FFFF FFFF
1,134,0:03.312.516,1.448.300 ms,9 B,,   MOSI,01 4D 00 00 01 FF FF FF FF
1,135,0:03.312.516,1.448.300 ms,9 B,,   MISO,FF F3 5A FF FF FF FF FF FF
0,136,0:03.328.519,1.450.000 ms,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,137,0:03.328.519,1.450.000 ms,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,138,0:03.328.519,1.450.000 ms,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,139,0:03.344.524,908.000 us,9 B,,Transaction,01FF 4373 005A 01FF 00FF 0080 0080 0080 0080
1,140,0:03.344.524,908.000 us,9 B,,   MOSI,01 43 00 01 00 00 00 00 00
1,141,0:03.344.524,908.000 us,9 B,,   MISO,FF 73 5A FF FF 80 80 80 80
0,142,0:03.360.530,1.450.000 ms,9 B,,Transaction,01FF 4FF3 005A FF00 FF00 0300 0000 0000 005A
1,143,0:03.360.530,1.450.000 ms,9 B,,   MOSI,01 4F 00 FF FF 03 00 00 00
1,144,0:03.360.530,1.450.000 ms,9 B,,   MISO,FF F3 5A 00 00 00 00 00 5A
0,145,0:03.376.534,1.443.600 ms,9 B,,Transaction,01FF 40F3 005A 0000 0200 0002 0000 0000 005A
1,146,0:03.376.534,1.443.600 ms,9 B,,   MOSI,01 40 00 00 02 00 00 00 00
1,147,0:03.376.534,1.443.600 ms,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,148,0:03.392.540,1.442.600 ms,9 B,,Transaction,01FF 40F3 005A FF00 0200 00FF 0000 0000 00FF
1,149,0:03.392.540,1.442.600 ms,9 B,,   MOSI,01 40 00 FF 02 00 00 00 00
1,150,0:03.392.540,1.442.600 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,151,0:03.408.545,1.442.700 ms,9 B,,Transaction,01FF 40F3 005A FE00 0200 00FF 0000 0000 00FF
1,152,0:03.408.545,1.442.700 ms,9 B,,   MOSI,01 40 00 FE 02 00 00 00 00
1,153,0:03.408.545,1.442.700 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,154,0:03.424.558,1.442.700 ms,9 B,,Transaction,01FF 40F3 005A FD00 0200 00FF 0000 0000 00FF
1,155,0:03.424.558,1.442.700 ms,9 B,,   MOSI,01 40 00 FD 02 00 00 00 00
1,156,0:03.424.558,1.442.700 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,157,0:03.441.564,1.442.800 ms,9 B,,Transaction,01FF 40F3 005A FC00 0200 00FF 0000 0000 00FF
